draw,metric,n,spearman_rho,null_kind
50,design_smell_density_per_kloc,91,-0.8906267420562236,uniform
50,implementation_smell_density_per_kloc,91,-0.8735775886095605,uniform
50,"pooled (non-independent, see caveat)",274,-0.8002519550727762,uniform
51,cyclomatic_complexity_p90,92,-0.6685546950256231,uniform
51,design_smell_density_per_kloc,91,-0.8337023174325078,uniform
51,implementation_smell_density_per_kloc,91,-0.7894393170832703,uniform
51,"pooled (non-independent, see caveat)",274,-0.7504512324742707,uniform
52,cyclomatic_complexity_p90,91,-0.6611721611721612,uniform
52,design_smell_density_per_kloc,91,-0.8235884367285181,uniform
52,implementation_smell_density_per_kloc,91,-0.7738156857436355,uniform
52,"pooled (non-independent, see caveat)",273,-0.7449275469166512,uniform
53,cyclomatic_complexity_p90,92,-0.7066411849020544,uniform
53,design_smell_density_per_kloc,91,-0.7337580632316636,uniform
53,implementation_smell_density_per_kloc,91,-0.8259740880242716,uniform
53,"pooled (non-independent, see caveat)",274,-0.7473740581946797,uniform
54,cyclomatic_complexity_p90,91,-0.6542734055853288,uniform
54,design_smell_density_per_kloc,91,-0.8056064346579598,uniform
54,implementation_smell_density_per_kloc,91,-0.8129782845857987,uniform
54,"pooled (non-independent, see caveat)",273,-0.7416333356630386,uniform
55,cyclomatic_complexity_p90,92,-0.48790505914537813,uniform
55,design_smell_density_per_kloc,91,-0.817185633511189,uniform
55,implementation_smell_density_per_kloc,91,-0.8694845475756298,uniform
55,"pooled (non-independent, see caveat)",274,-0.7068832349197348,uniform
56,cyclomatic_complexity_p90,92,-0.7590923627676942,uniform
56,design_smell_density_per_kloc,91,-0.8164051923230071,uniform
56,implementation_smell_density_per_kloc,91,-0.8162750141345289,uniform
56,"pooled (non-independent, see caveat)",274,-0.7896999376092785,uniform
57,cyclomatic_complexity_p90,92,-0.6950182447349949,uniform
57,design_smell_density_per_kloc,91,-0.8545512463167955,uniform
57,implementation_smell_density_per_kloc,91,-0.8524434817923379,uniform
57,"pooled (non-independent, see caveat)",274,-0.7722848952430038,uniform
58,cyclomatic_complexity_p90,92,-0.6556236273263205,uniform
58,design_smell_density_per_kloc,91,-0.8282392291152345,uniform
58,implementation_smell_density_per_kloc,91,-0.825066292931143,uniform
58,"pooled (non-independent, see caveat)",274,-0.7478295922165168,uniform
59,cyclomatic_complexity_p90,92,-0.7058397423053804,uniform
59,design_smell_density_per_kloc,91,-0.8145369695731115,uniform
59,implementation_smell_density_per_kloc,91,-0.8665381950803877,uniform
59,"pooled (non-independent, see caveat)",274,-0.7881869280567324,uniform
60,cyclomatic_complexity_p90,91,-0.6510403809554146,uniform
60,design_smell_density_per_kloc,91,-0.7434259775424067,uniform
60,implementation_smell_density_per_kloc,91,-0.8494812030673917,uniform
60,"pooled (non-independent, see caveat)",273,-0.731859981929069,uniform
61,cyclomatic_complexity_p90,92,-0.6640696643933263,uniform
61,design_smell_density_per_kloc,91,-0.8268216930795573,uniform
61,implementation_smell_density_per_kloc,91,-0.8352590799417099,uniform
61,"pooled (non-independent, see caveat)",274,-0.7646269908773453,uniform
62,cyclomatic_complexity_p90,92,-0.6558420541590246,uniform
62,design_smell_density_per_kloc,91,-0.8369037190411723,uniform
62,implementation_smell_density_per_kloc,91,-0.8245088748915025,uniform
62,"pooled (non-independent, see caveat)",274,-0.7504268039595274,uniform
63,cyclomatic_complexity_p90,92,-0.652124995183601,uniform
63,design_smell_density_per_kloc,91,-0.8752886836027713,uniform
63,implementation_smell_density_per_kloc,91,-0.8244929486617986,uniform
63,"pooled (non-independent, see caveat)",274,-0.7517348950085243,uniform
64,cyclomatic_complexity_p90,92,-0.6618682859917081,uniform
64,design_smell_density_per_kloc,91,-0.8405510870430837,uniform
64,implementation_smell_density_per_kloc,91,-0.7478559313260975,uniform
64,"pooled (non-independent, see caveat)",274,-0.7257528244315333,uniform
65,cyclomatic_complexity_p90,92,-0.4812160443879319,uniform
65,design_smell_density_per_kloc,91,-0.877088476546946,uniform
65,implementation_smell_density_per_kloc,91,-0.7990746860541971,uniform
65,"pooled (non-independent, see caveat)",274,-0.6860407865154118,uniform
66,cyclomatic_complexity_p90,92,-0.6748429853966784,uniform
66,design_smell_density_per_kloc,91,-0.7840407740702396,uniform
66,implementation_smell_density_per_kloc,91,-0.7895030220020863,uniform
66,"pooled (non-independent, see caveat)",274,-0.7322903259914542,uniform
67,cyclomatic_complexity_p90,92,-0.7421800947867297,uniform
67,design_smell_density_per_kloc,91,-0.7422951341881023,uniform
67,implementation_smell_density_per_kloc,91,-0.8248592519449909,uniform
67,"pooled (non-independent, see caveat)",274,-0.774321926223053,uniform
68,cyclomatic_complexity_p90,92,-0.7087019512345488,uniform
68,design_smell_density_per_kloc,91,-0.7871147567094051,uniform
68,implementation_smell_density_per_kloc,91,-0.8259103831054556,uniform
68,"pooled (non-independent, see caveat)",274,-0.7595463989333759,uniform
69,cyclomatic_complexity_p90,91,-0.6615967765054388,uniform
69,design_smell_density_per_kloc,91,-0.7857290754161025,uniform
69,implementation_smell_density_per_kloc,91,-0.793341243360753,uniform
69,"pooled (non-independent, see caveat)",273,-0.7308118268657147,uniform
70,cyclomatic_complexity_p90,92,-0.7367261069925867,uniform
70,design_smell_density_per_kloc,91,-0.8313132117544,uniform
70,implementation_smell_density_per_kloc,91,-0.8112104730886535,uniform
70,"pooled (non-independent, see caveat)",274,-0.7749969446290956,uniform
71,cyclomatic_complexity_p90,92,-0.6774193548387097,uniform
71,design_smell_density_per_kloc,91,-0.7605001194552838,uniform
71,implementation_smell_density_per_kloc,91,-0.8136153337739591,uniform
71,"pooled (non-independent, see caveat)",274,-0.7286942538746781,uniform
72,cyclomatic_complexity_p90,92,-0.6958371222045836,uniform
72,design_smell_density_per_kloc,91,-0.8562076929202836,uniform
72,implementation_smell_density_per_kloc,91,-0.8057318500704737,uniform
72,"pooled (non-independent, see caveat)",274,-0.7627877116628248,uniform
73,cyclomatic_complexity_p90,92,-0.6691635167103585,uniform
73,design_smell_density_per_kloc,91,-0.7856812933025404,uniform
73,implementation_smell_density_per_kloc,91,-0.8165457600394971,uniform
73,"pooled (non-independent, see caveat)",274,-0.7299769147965163,uniform
74,cyclomatic_complexity_p90,92,-0.6838617203273584,uniform
74,design_smell_density_per_kloc,91,-0.8367922274428605,uniform
74,implementation_smell_density_per_kloc,91,-0.7868433416415166,uniform
74,"pooled (non-independent, see caveat)",274,-0.74887545562588,uniform
75,cyclomatic_complexity_p90,92,-0.6674295842484489,uniform
75,design_smell_density_per_kloc,91,-0.7982161344270128,uniform
75,implementation_smell_density_per_kloc,91,-0.7851392350631874,uniform
75,"pooled (non-independent, see caveat)",274,-0.7354146385606092,uniform
76,cyclomatic_complexity_p90,92,-0.6754594844526643,uniform
76,design_smell_density_per_kloc,91,-0.7678267102014813,uniform
76,implementation_smell_density_per_kloc,91,-0.7871618662355967,uniform
76,"pooled (non-independent, see caveat)",274,-0.7212993395146641,uniform
77,cyclomatic_complexity_p90,92,-0.6394124809272074,uniform
77,design_smell_density_per_kloc,91,-0.8112447240582943,uniform
77,implementation_smell_density_per_kloc,91,-0.8284426536283934,uniform
77,"pooled (non-independent, see caveat)",274,-0.7367485827158734,uniform
78,cyclomatic_complexity_p90,92,-0.6655954995568912,uniform
78,design_smell_density_per_kloc,91,-0.788882694911205,uniform
78,implementation_smell_density_per_kloc,91,-0.8417410554312424,uniform
78,"pooled (non-independent, see caveat)",274,-0.7460803251718915,uniform
79,cyclomatic_complexity_p90,91,-0.6092786953128732,uniform
79,design_smell_density_per_kloc,91,-0.8747949350959624,uniform
79,implementation_smell_density_per_kloc,91,-0.8451651948176049,uniform
79,"pooled (non-independent, see caveat)",273,-0.7604903116674621,uniform
80,cyclomatic_complexity_p90,91,-0.700637044115305,uniform
80,design_smell_density_per_kloc,91,-0.7723819383610735,uniform
80,implementation_smell_density_per_kloc,91,-0.8257511208084154,uniform
80,"pooled (non-independent, see caveat)",273,-0.757004153361793,uniform
81,cyclomatic_complexity_p90,92,-0.695819365776596,uniform
81,design_smell_density_per_kloc,91,-0.8313928486103369,uniform
81,implementation_smell_density_per_kloc,91,-0.8060185222051457,uniform
81,"pooled (non-independent, see caveat)",274,-0.7558177131377442,uniform
82,cyclomatic_complexity_p90,92,-0.7367991122345181,uniform
82,design_smell_density_per_kloc,91,-0.8520028669268137,uniform
82,implementation_smell_density_per_kloc,91,-0.8591484244977265,uniform
82,"pooled (non-independent, see caveat)",274,-0.7978425422800869,uniform
83,cyclomatic_complexity_p90,91,-0.6817302255950437,uniform
83,design_smell_density_per_kloc,91,-0.8574978099864617,uniform
83,implementation_smell_density_per_kloc,91,-0.7298752179902691,uniform
83,"pooled (non-independent, see caveat)",273,-0.7323257210953626,uniform
84,cyclomatic_complexity_p90,91,-0.5985475278509942,uniform
84,design_smell_density_per_kloc,91,-0.8557139444134747,uniform
84,implementation_smell_density_per_kloc,91,-0.8297167520047142,uniform
84,"pooled (non-independent, see caveat)",273,-0.7359346998381298,uniform
85,cyclomatic_complexity_p90,92,-0.6060601390194659,uniform
85,design_smell_density_per_kloc,91,-0.8011786254678666,uniform
85,implementation_smell_density_per_kloc,91,-0.7378861115313867,uniform
85,"pooled (non-independent, see caveat)",274,-0.682034331576726,uniform
86,cyclomatic_complexity_p90,92,-0.6800524024197586,uniform
86,design_smell_density_per_kloc,91,-0.8568288603965916,uniform
86,implementation_smell_density_per_kloc,91,-0.7377905541531624,uniform
86,"pooled (non-independent, see caveat)",274,-0.7374258689506555,uniform
87,cyclomatic_complexity_p90,92,-0.6762917581782453,uniform
87,design_smell_density_per_kloc,91,-0.834291630166441,uniform
87,implementation_smell_density_per_kloc,91,-0.8189028420356907,uniform
87,"pooled (non-independent, see caveat)",274,-0.7573209333366001,uniform
88,cyclomatic_complexity_p90,92,-0.6066273648518474,uniform
88,design_smell_density_per_kloc,91,-0.7883283759255612,uniform
88,implementation_smell_density_per_kloc,91,-0.8341442438624292,uniform
88,"pooled (non-independent, see caveat)",274,-0.7302678008247395,uniform
89,cyclomatic_complexity_p90,92,-0.6505529225908372,uniform
89,design_smell_density_per_kloc,91,-0.791399219558812,uniform
89,implementation_smell_density_per_kloc,91,-0.842616998064963,uniform
89,"pooled (non-independent, see caveat)",274,-0.751746411396036,uniform
90,cyclomatic_complexity_p90,91,-0.6697696270873316,uniform
90,design_smell_density_per_kloc,91,-0.8389599019115078,uniform
90,implementation_smell_density_per_kloc,91,-0.8885960232204428,uniform
90,"pooled (non-independent, see caveat)",273,-0.7813457093875721,uniform
91,cyclomatic_complexity_p90,91,-0.7806002595975442,uniform
91,design_smell_density_per_kloc,91,-0.873316609620027,uniform
91,implementation_smell_density_per_kloc,91,-0.8406262193519618,uniform
91,"pooled (non-independent, see caveat)",273,-0.8051020912414271,uniform
92,cyclomatic_complexity_p90,92,-0.669818518090394,uniform
92,design_smell_density_per_kloc,91,-0.8477343314485943,uniform
92,implementation_smell_density_per_kloc,91,-0.7532708494254613,uniform
92,"pooled (non-independent, see caveat)",274,-0.7305032774283887,uniform
93,cyclomatic_complexity_p90,92,-0.6792226006812262,uniform
93,design_smell_density_per_kloc,91,-0.7912877279605002,uniform
93,implementation_smell_density_per_kloc,91,-0.8353407259061814,uniform
93,"pooled (non-independent, see caveat)",274,-0.752388920888431,uniform
94,cyclomatic_complexity_p90,92,-0.6745322277365062,uniform
94,design_smell_density_per_kloc,91,-0.8152106394839532,uniform
94,implementation_smell_density_per_kloc,91,-0.8345742520644376,uniform
94,"pooled (non-independent, see caveat)",274,-0.7572747767390321,uniform
95,cyclomatic_complexity_p90,92,-0.5857710921364939,uniform
95,design_smell_density_per_kloc,91,-0.7566456956279366,uniform
95,implementation_smell_density_per_kloc,91,-0.823712563406302,uniform
95,"pooled (non-independent, see caveat)",274,-0.6965378611775612,uniform
96,cyclomatic_complexity_p90,92,-0.7282184855817394,uniform
96,design_smell_density_per_kloc,91,-0.899068248785538,uniform
96,implementation_smell_density_per_kloc,91,-0.8200654568040836,uniform
96,"pooled (non-independent, see caveat)",274,-0.7888209301803267,uniform
97,cyclomatic_complexity_p90,92,-0.582355932987069,uniform
97,design_smell_density_per_kloc,91,-0.8403440312176476,uniform
97,implementation_smell_density_per_kloc,91,-0.8179950469425622,uniform
97,"pooled (non-independent, see caveat)",274,-0.7123307769334227,uniform
98,cyclomatic_complexity_p90,92,-0.5829846260547913,uniform
98,design_smell_density_per_kloc,91,-0.8474157840248469,uniform
98,implementation_smell_density_per_kloc,91,-0.8230614561316596,uniform
98,"pooled (non-independent, see caveat)",274,-0.7209191519929155,uniform
99,cyclomatic_complexity_p90,92,-0.5980734404500443,uniform
99,design_smell_density_per_kloc,91,-0.9034523958900865,uniform
99,implementation_smell_density_per_kloc,91,-0.7637980872598126,uniform
99,"pooled (non-independent, see caveat)",274,-0.7072380448218937,uniform
100,cyclomatic_complexity_p90,91,-0.6194616977225674,uniform
100,design_smell_density_per_kloc,91,-0.8435772875686869,uniform
100,implementation_smell_density_per_kloc,91,-0.8175331862811458,uniform
100,"pooled (non-independent, see caveat)",273,-0.7329971962397025,uniform
101,cyclomatic_complexity_p90,91,-0.7147293735417546,uniform
101,design_smell_density_per_kloc,91,-0.8831408775981526,uniform
101,implementation_smell_density_per_kloc,91,-0.8374887521002715,uniform
101,"pooled (non-independent, see caveat)",273,-0.7884680772884121,uniform
102,cyclomatic_complexity_p90,92,-0.6485774174655529,uniform
102,design_smell_density_per_kloc,91,-0.8051763956359003,uniform
102,implementation_smell_density_per_kloc,91,-0.8240947929191982,uniform
102,"pooled (non-independent, see caveat)",274,-0.7427743131514124,uniform
103,cyclomatic_complexity_p90,92,-0.71702911394356,uniform
103,design_smell_density_per_kloc,91,-0.786875324161458,uniform
103,implementation_smell_density_per_kloc,91,-0.8171987354573615,uniform
103,"pooled (non-independent, see caveat)",274,-0.7653641510155039,uniform
104,cyclomatic_complexity_p90,92,-0.7660077833005817,uniform
104,design_smell_density_per_kloc,91,-0.8344031217647528,uniform
104,implementation_smell_density_per_kloc,91,-0.7811736038668885,uniform
104,"pooled (non-independent, see caveat)",274,-0.7759465964762448,uniform
105,cyclomatic_complexity_p90,92,-0.725041421030324,uniform
105,design_smell_density_per_kloc,91,-0.7581269411483635,uniform
105,implementation_smell_density_per_kloc,91,-0.8140294157462634,uniform
105,"pooled (non-independent, see caveat)",274,-0.7501280485172623,uniform
106,cyclomatic_complexity_p90,91,-0.6619099759165364,uniform
106,design_smell_density_per_kloc,91,-0.800573385362746,uniform
106,implementation_smell_density_per_kloc,91,-0.8668567196744679,uniform
106,"pooled (non-independent, see caveat)",273,-0.7641802136593854,uniform
107,cyclomatic_complexity_p90,91,-0.694530049292466,uniform
107,design_smell_density_per_kloc,91,-0.8441028908178706,uniform
107,implementation_smell_density_per_kloc,91,-0.8459296538433974,uniform
